入金日,入金額(円)
2024-11-07,800000.0
2024-11-16,200000.0
2024-12-12,441491.0
2025-03-31,1000000.0
2025-04-10,150000.0
2025-05-15,300000.0
2025-06-10,368267.0
2025-09-24,420000.0
2025-09-26,1350676.0
2025-11-11,550000.0
2025-11-25,140000.0
2026-02-06,100000.0
2026-02-27,50000.0
2026-05-19,100000.0
2026-05-25,100000.0
2026-07-07,150000.0
2026-07-08,150000.0
